"","line","lyric","element","track_name","album_name"
"1",1,"He said the way my blue eyes shined","Verse 1","Tim McGraw","Taylor Swift"
"2",2,"Put those Georgia stars to shame that night","Verse 1","Tim McGraw","Taylor Swift"
"3",3,"I said, ""That's a lie""","Verse 1","Tim McGraw","Taylor Swift"
"4",4,"Just a boy in a Chevy truck","Verse 1","Tim McGraw","Taylor Swift"
"5",5,"That had a tendency of gettin' stuck","Verse 1","Tim McGraw","Taylor Swift"
"6",6,"On backroads at night","Verse 1","Tim McGraw","Taylor Swift"
"7",7,"And I was right there beside him all summer long","Verse 1","Tim McGraw","Taylor Swift"
"8",8,"And then the time we woke up to find that summer gone","Verse 1","Tim McGraw","Taylor Swift"
"9",9,"But when you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"10",10,"I hope you think my favorite song","Chorus","Tim McGraw","Taylor Swift"
"11",11,"The one we danced to all night long","Chorus","Tim McGraw","Taylor Swift"
"12",12,"The moon like a spotlight on the lake","Chorus","Tim McGraw","Taylor Swift"
"13",13,"When you think happiness","Chorus","Tim McGraw","Taylor Swift"
"14",14,"I hope you think that little black dress","Chorus","Tim McGraw","Taylor Swift"
"15",15,"Think of my head on your chest","Chorus","Tim McGraw","Taylor Swift"
"16",16,"And my old faded blue jeans","Chorus","Tim McGraw","Taylor Swift"
"17",17,"When you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"18",18,"I hope you think of me","Chorus","Tim McGraw","Taylor Swift"
"19",19,"September saw a month of tears","Verse 2","Tim McGraw","Taylor Swift"
"20",20,"And thankin' God that you weren't here","Verse 2","Tim McGraw","Taylor Swift"
"21",21,"To see me like that","Verse 2","Tim McGraw","Taylor Swift"
"22",22,"But in a box beneath my bed","Verse 2","Tim McGraw","Taylor Swift"
"23",23,"Is a letter that you never read","Verse 2","Tim McGraw","Taylor Swift"
"24",24,"From three summers back","Verse 2","Tim McGraw","Taylor Swift"
"25",25,"It's hard not to find it all a little bittersweet","Verse 2","Tim McGraw","Taylor Swift"
"26",26,"And lookin' back on all of that, it's nice to believe","Verse 2","Tim McGraw","Taylor Swift"
"27",27,"When you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"28",28,"I hope you think my favorite song","Chorus","Tim McGraw","Taylor Swift"
"29",29,"The one we danced to all night long","Chorus","Tim McGraw","Taylor Swift"
"30",30,"The moon like a spotlight on the lake","Chorus","Tim McGraw","Taylor Swift"
"31",31,"When you think happiness","Chorus","Tim McGraw","Taylor Swift"
"32",32,"I hope you think that little black dress","Chorus","Tim McGraw","Taylor Swift"
"33",33,"Think of my head on your chest","Chorus","Tim McGraw","Taylor Swift"
"34",34,"And my old faded blue jeans","Chorus","Tim McGraw","Taylor Swift"
"35",35,"When you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"36",36,"I hope you think of me","Chorus","Tim McGraw","Taylor Swift"
"37",37,"And I'm back for the first time since then","Bridge","Tim McGraw","Taylor Swift"
"38",38,"I'm standin' on your street","Bridge","Tim McGraw","Taylor Swift"
"39",39,"And there's a letter left on your doorstep","Bridge","Tim McGraw","Taylor Swift"
"40",40,"And the first thing that you'll read is:","Bridge","Tim McGraw","Taylor Swift"
"41",41,"""When you think Tim McGraw","Bridge","Tim McGraw","Taylor Swift"
"42",42,"I hope you think my favorite song","Bridge","Tim McGraw","Taylor Swift"
"43",43,"Someday you'll turn your radio on","Bridge","Tim McGraw","Taylor Swift"
"44",44,"I hope it takes you back to that place""","Bridge","Tim McGraw","Taylor Swift"
"45",45,"When you think happiness","Chorus","Tim McGraw","Taylor Swift"
"46",46,"I hope you think that little black dress","Chorus","Tim McGraw","Taylor Swift"
"47",47,"Think of my head on your chest","Chorus","Tim McGraw","Taylor Swift"
"48",48,"And my old faded blue jeans","Chorus","Tim McGraw","Taylor Swift"
"49",49,"When you think Tim McGraw","Chorus","Tim McGraw","Taylor Swift"
"50",50,"I hope you think of me","Chorus","Tim McGraw","Taylor Swift"
"51",51,"Oh, think of me","Chorus","Tim McGraw","Taylor Swift"
"52",52,"Mmmm","Chorus","Tim McGraw","Taylor Swift"
"53",53,"He said the way my blue eyes shine","Outro","Tim McGraw","Taylor Swift"
"54",54,"Put those Georgia stars to shame that night","Outro","Tim McGraw","Taylor Swift"
"55",55,"I said, ""That's a lie""","Outro","Tim McGraw","Taylor Swift"
"56",1,"State the obvious, I didn't get my perfect fantasy","Verse 1","Picture To Burn","Taylor Swift"
"57",2,"I realize you love yourself more than you could ever love me","Verse 1","Picture To Burn","Taylor Swift"
"58",3,"So go and tell your friends that I'm obsessive and crazy","Verse 1","Picture To Burn","Taylor Swift"
"59",4,"That's fine, you won't mind if I say","Verse 1","Picture To Burn","Taylor Swift"
"60",5,"By the way","Verse 1","Picture To Burn","Taylor Swift"
"61",6,"I hate that stupid old pickup truck you never let me drive","Chorus","Picture To Burn","Taylor Swift"
"62",7,"You're a redneck heartbreak who's really bad at lying","Chorus","Picture To Burn","Taylor Swift"
"63",8,"So watch me strike a match on all my wasted time","Chorus","Picture To Burn","Taylor Swift"
"64",9,"As far as I'm concerned, you're just another picture to burn","Chorus","Picture To Burn","Taylor Swift"
"65",10,"There's no time for tears","Verse 2","Picture To Burn","Taylor Swift"
"66",11,"I'm just sitting here planning my revenge","Verse 2","Picture To Burn","Taylor Swift"
"67",12,"There's nothing stopping me","Verse 2","Picture To Burn","Taylor Swift"
"68",13,"From going out with all of your best friends","Verse 2","Picture To Burn","Taylor Swift"
"69",14,"And if you come around saying sorry to me","Verse 2","Picture To Burn","Taylor Swift"
"70",15,"My daddy's gonna show you how sorry you'll be","Verse 2","Picture To Burn","Taylor Swift"
"71",16,"'Cause I hate that stupid old pickup truck you never let me drive","Chorus","Picture To Burn","Taylor Swift"
"72",17,"You're a redneck heartbreak who's really bad at lying","Chorus","Picture To Burn","Taylor Swift"
"73",18,"So watch me strike a match on all my wasted time","Chorus","Picture To Burn","Taylor Swift"
"74",19,"As far as I'm concerned, you're just another picture to burn","Chorus","Picture To Burn","Taylor Swift"
"75",20,"And if you're missing me, you'd better keep it to yourself","Bridge","Picture To Burn","Taylor Swift"
"76",21,"'Cause coming back around here would be bad for your health","Bridge","Picture To Burn","Taylor Swift"
"77",22,"'Cause I hate that stupid old pickup truck you never let me drive","Chorus","Picture To Burn","Taylor Swift"
"78",23,"You're a redneck heartbreak who's really bad at lying","Chorus","Picture To Burn","Taylor Swift"
"79",24,"So watch me strike a match on all my wasted time","Chorus","Picture To Burn","Taylor Swift"
"80",25,"In case you haven't heard","Chorus","Picture To Burn","Taylor Swift"
"81",26,"I really really hate that","Chorus","Picture To Burn","Taylor Swift"
"82",27,"Stupid old pickup truck you never let me drive","Chorus","Picture To Burn","Taylor Swift"
"83",28,"You're a redneck heartbreak, who's really bad at lying","Chorus","Picture To Burn","Taylor Swift"
"84",29,"So watch me strike a match on all my wasted time","Chorus","Picture To Burn","Taylor Swift"
"85",30,"As far as I'm concerned, you're just another picture to burn","Chorus","Picture To Burn","Taylor Swift"
"86",31,"Burn, burn, burn, baby, burn","Outro","Picture To Burn","Taylor Swift"
"87",32,"You're just another picture to burn","Outro","Picture To Burn","Taylor Swift"
"88",33,"Baby, burn","Outro","Picture To Burn","Taylor Swift"
"89",1,"Drew looks at me","Verse 1","Teardrops On My Guitar","Taylor Swift"
"90",2,"I fake a smile so he won't see","Verse 1","Teardrops On My Guitar","Taylor Swift"
"91",3,"That I want and I'm needing","Verse 1","Teardrops On My Guitar","Taylor Swift"
"92",4,"Everything that we should be","Verse 1","Teardrops On My Guitar","Taylor Swift"
"93",5,"I'll bet she's beautiful, that girl he talks about","Pre-Chorus 1","Teardrops On My Guitar","Taylor Swift"
"94",6,"And she's got everything that I have to live without","Pre-Chorus 1","Teardrops On My Guitar","Taylor Swift"
"95",7,"Drew talks to me","Verse 2","Teardrops On My Guitar","Taylor Swift"
"96",8,"I laugh 'cause it's so damn funny","Verse 2","Teardrops On My Guitar","Taylor Swift"
"97",9,"That I can't even see","Verse 2","Teardrops On My Guitar","Taylor Swift"
"98",10,"Anyone when he's with me","Verse 2","Teardrops On My Guitar","Taylor Swift"
"99",11,"He says he's so in love, he's finally got it right","Pre-Chorus 2","Teardrops On My Guitar","Taylor Swift"
"100",12,"I wonder if he knows he's all I think about at night","Pre-Chorus 2","Teardrops On My Guitar","Taylor Swift"
"101",13,"He's the reason for the teardrops on my guitar","Chorus","Teardrops On My Guitar","Taylor Swift"
"102",14,"The only thing that keeps me wishing on a wishing star","Chorus","Teardrops On My Guitar","Taylor Swift"
"103",15,"He's the song in the car","Chorus","Teardrops On My Guitar","Taylor Swift"
"104",16,"I keep singing, don't know why I do...","Chorus","Teardrops On My Guitar","Taylor Swift"
"105",17,"Drew walks by me","Verse 3","Teardrops On My Guitar","Taylor Swift"
"106",18,"Can't he tell that I can't breathe?","Verse 3","Teardrops On My Guitar","Taylor Swift"
"107",19,"And there he goes, so perfectly","Verse 3","Teardrops On My Guitar","Taylor Swift"
"108",20,"The kind of flawless I wish I could be","Verse 3","Teardrops On My Guitar","Taylor Swift"
"109",21,"She'd better hold him tight, give him all her love","Pre-Chorus 3","Teardrops On My Guitar","Taylor Swift"
"110",22,"Look in those beautiful eyes and know she's lucky 'cause","Pre-Chorus 3","Teardrops On My Guitar","Taylor Swift"
"111",23,"He's the reason for the teardrops on my guitar","Chorus","Teardrops On My Guitar","Taylor Swift"
"112",24,"The only thing that keeps me wishing on a wishing star","Chorus","Teardrops On My Guitar","Taylor Swift"
"113",25,"He's the song in the car","Chorus","Teardrops On My Guitar","Taylor Swift"
"114",26,"I keep singing, don't know why I do...","Chorus","Teardrops On My Guitar","Taylor Swift"
"115",27,"So I drive home alone, as I turn off the light","Bridge","Teardrops On My Guitar","Taylor Swift"
"116",28,"I'll put his picture down and maybe get some sleep tonight","Bridge","Teardrops On My Guitar","Taylor Swift"
"117",29,"'Cause he's the reason for the teardrops on my guitar","Chorus","Teardrops On My Guitar","Taylor Swift"
"118",30,"The only one who's got enough of me to break my heart","Chorus","Teardrops On My Guitar","Taylor Swift"
"119",31,"He's the song in the car","Chorus","Teardrops On My Guitar","Taylor Swift"
"120",32,"I keep singing, don't know why I do...","Chorus","Teardrops On My Guitar","Taylor Swift"
"121",33,"He's the time taken up, but there's never enough","Outro","Teardrops On My Guitar","Taylor Swift"
"122",34,"And he's all that I need to fall into","Outro","Teardrops On My Guitar","Taylor Swift"
"123",35,"Drew looks at me","Outro","Teardrops On My Guitar","Taylor Swift"
"124",36,"I fake a smile so he won't see","Outro","Teardrops On My Guitar","Taylor Swift"
"125",1,"I don't know what I want, so don't ask me","Verse 1","A Place In This World","Taylor Swift"
"126",2,"Cause I'm still trying to figure it out","Verse 1","A Place In This World","Taylor Swift"
"127",3,"Don't know what's down this road, I'm just walking","Verse 1","A Place In This World","Taylor Swift"
"128",4,"Trying to see through the rain coming down","Verse 1","A Place In This World","Taylor Swift"
"129",5,"Even though I'm not the only one","Verse 1","A Place In This World","Taylor Swift"
"130",6,"Who feels the way I do","Verse 1","A Place In This World","Taylor Swift"
"131",7,"I'm alone, on my own, and that's all I know","Chorus","A Place In This World","Taylor Swift"
"132",8,"I'll be strong, I'll be wrong, oh but life goes on","Chorus","A Place In This World","Taylor Swift"
"133",9,"Oh, I'm just a girl, trying to find a place in this world","Chorus","A Place In This World","Taylor Swift"
"134",10,"Got the radio on, my old blue jeans","Verse 2","A Place In This World","Taylor Swift"
"135",11,"And I'm wearing my heart on my sleeve","Verse 2","A Place In This World","Taylor Swift"
"136",12,"Feeling lucky today, got the sunshine","Verse 2","A Place In This World","Taylor Swift"
"137",13,"Could you tell me what more do I need","Verse 2","A Place In This World","Taylor Swift"
"138",14,"And tomorrow's just a mystery, oh yeah","Verse 2","A Place In This World","Taylor Swift"
"139",15,"But that's OK","Verse 2","A Place In This World","Taylor Swift"
"140",16,"I'm alone, on my own, and that's all I know","Chorus","A Place In This World","Taylor Swift"
"141",17,"I'll be strong, I'll be wrong, oh but life goes on","Chorus","A Place In This World","Taylor Swift"
"142",18,"Oh, I'm just a girl, trying to find a place in this world","Chorus","A Place In This World","Taylor Swift"
"143",19,"Maybe I'm just a girl on a mission","Bridge","A Place In This World","Taylor Swift"
"144",20,"But I'm ready to fly","Bridge","A Place In This World","Taylor Swift"
"145",21,"I'm alone, on my own, and that's all I know","Chorus","A Place In This World","Taylor Swift"
"146",22,"I'll be strong, I'll be wrong, oh but life goes on","Chorus","A Place In This World","Taylor Swift"
"147",23,"Oh I'm alone, on my own, and that's all I know","Chorus","A Place In This World","Taylor Swift"
"148",24,"Oh I'm just a girl, trying to find a place in this world","Chorus","A Place In This World","Taylor Swift"
"149",25,"Oh I'm just a girl","Outro","A Place In This World","Taylor Swift"
"150",26,"Oh I'm just a girl, oh, oh","Outro","A Place In This World","Taylor Swift"
"151",27,"Oh I'm just a girl","Outro","A Place In This World","Taylor Swift"
"152",1,"You have a way of coming easily to me","Verse 1","Cold As You","Taylor Swift"
"153",2,"And when you take, you take the very best of me","Verse 1","Cold As You","Taylor Swift"
"154",3,"So I start a fight cause I need to feel something","Verse 1","Cold As You","Taylor Swift"
"155",4,"And you do what you want 'cause I'm not what you wanted","Verse 1","Cold As You","Taylor Swift"
"156",5,"Oh, what a shame, what a rainy ending given to a perfect day","Chorus","Cold As You","Taylor Swift"
"157",6,"Just walk away, ain't no use defending words that you will never say","Chorus","Cold As You","Taylor Swift"
"158",7,"And now that I'm sitting here thinking it through","Chorus","Cold As You","Taylor Swift"
"159",8,"I've never been anywhere cold as you","Chorus","Cold As You","Taylor Swift"
"160",9,"You put up walls and paint them all a shade of gray","Verse 2","Cold As You","Taylor Swift"
"161",10,"And I stood there loving you and wished them all away","Verse 2","Cold As You","Taylor Swift"
"162",11,"And you come away with a great little story","Verse 2","Cold As You","Taylor Swift"
"163",12,"Of a mess of a dreamer with the nerve to adore you","Verse 2","Cold As You","Taylor Swift"
"164",13,"Oh, what a shame, what a rainy ending given to a perfect day","Chorus","Cold As You","Taylor Swift"
"165",14,"So just walk away, ain't no use defending words that you will never say","Chorus","Cold As You","Taylor Swift"
"166",15,"And now that I'm sitting here thinking it through","Chorus","Cold As You","Taylor Swift"
"167",16,"I've never been anywhere cold as you","Chorus","Cold As You","Taylor Swift"
"168",17,"You never did give a damn thing, honey, but I cried, cried for you","Bridge","Cold As You","Taylor Swift"
"169",18,"And I know you wouldn't have told nobody if I died, died for you","Bridge","Cold As You","Taylor Swift"
"170",19,"(Died for you)","Bridge","Cold As You","Taylor Swift"
"171",20,"Oh, what a shame, what a rainy ending given to a perfect day","Chorus","Cold As You","Taylor Swift"
"172",21,"Every smile you fake is so condescending","Chorus","Cold As You","Taylor Swift"
"173",22,"Counting all the scars you made","Chorus","Cold As You","Taylor Swift"
"174",23,"And now that I'm sitting here thinking it through","Chorus","Cold As You","Taylor Swift"
"175",24,"I've never been anywhere cold as you","Chorus","Cold As You","Taylor Swift"
"176",1,"I didn't know what I would find","Verse 1","The Outside","Taylor Swift"
"177",2,"When I went looking for a reason, I know","Verse 1","The Outside","Taylor Swift"
"178",3,"I didn't read between the lines","Verse 1","The Outside","Taylor Swift"
"179",4,"And, baby, I've got nowhere to go","Verse 1","The Outside","Taylor Swift"
"180",5,"I tried to take the road less traveled by","Verse 1","The Outside","Taylor Swift"
"181",6,"But nothing seems to work the first few times","Verse 1","The Outside","Taylor Swift"
"182",7,"Am I right?","Verse 1","The Outside","Taylor Swift"
"183",8,"So how can I ever try to be better?","Chorus","The Outside","Taylor Swift"
"184",9,"Nobody ever lets me in","Chorus","The Outside","Taylor Swift"
"185",10,"I can still see you, this ain't the best view","Chorus","The Outside","Taylor Swift"
"186",11,"On the outside looking in","Chorus","The Outside","Taylor Swift"
"187",12,"I've been a lot of lonely places","Chorus","The Outside","Taylor Swift"
"188",13,"I've never been on the outside","Chorus","The Outside","Taylor Swift"
"189",14,"You saw me there, but never knew","Verse 2","The Outside","Taylor Swift"
"190",15,"I would give it all up to be","Verse 2","The Outside","Taylor Swift"
"191",16,"A part of this, a part of you","Verse 2","The Outside","Taylor Swift"
"192",17,"And now it's all too late so you see","Verse 2","The Outside","Taylor Swift"
"193",18,"You could've helped if you had wanted to","Verse 2","The Outside","Taylor Swift"
"194",19,"But no one notices until it's too","Verse 2","The Outside","Taylor Swift"
"195",20,"Late to do anything","Verse 2","The Outside","Taylor Swift"
"196",21,"So how can I ever try to be better?","Chorus","The Outside","Taylor Swift"
"197",22,"Nobody ever lets me in","Chorus","The Outside","Taylor Swift"
"198",23,"I can still see you, this ain't the best view","Chorus","The Outside","Taylor Swift"
"199",24,"On the outside looking in","Chorus","The Outside","Taylor Swift"
"200",25,"I've been a lot of lonely places","Chorus","The Outside","Taylor Swift"
"201",26,"I've never been on the outside","Chorus","The Outside","Taylor Swift"
"202",27,"Oh yeah","Bridge","The Outside","Taylor Swift"
"203",28,"So how can I ever try to be better?","Chorus","The Outside","Taylor Swift"
"204",29,"Nobody ever lets me in","Chorus","The Outside","Taylor Swift"
"205",30,"I can still see you, this ain't the best view","Chorus","The Outside","Taylor Swift"
"206",31,"On the outside looking in","Chorus","The Outside","Taylor Swift"
"207",32,"I've been a lot of lonely places","Chorus","The Outside","Taylor Swift"
"208",33,"I've never been on the outside","Chorus","The Outside","Taylor Swift"
"209",34,"Oh-oh","Outro","The Outside","Taylor Swift"
"210",35,"Oh, oh-oh","Outro","The Outside","Taylor Swift"
"211",36,"Oh-oh","Outro","The Outside","Taylor Swift"
"212",37,"Oh-oh","Outro","The Outside","Taylor Swift"
"213",1,"Seems the only one who doesn't see your beauty","Verse 1","Tied Together With A Smile","Taylor Swift"
"214",2,"Is the face in the mirror looking back at you","Verse 1","Tied Together With A Smile","Taylor Swift"
"215",3,"You walk around here thinking you're not pretty","Verse 1","Tied Together With A Smile","Taylor Swift"
"216",4,"But that's not true, 'cause I know you","Verse 1","Tied Together With A Smile","Taylor Swift"
"217",5,"Hold on, baby, you're losing it","Chorus","Tied Together With A Smile","Taylor Swift"
"218",6,"The water's high, you're jumping into it","Chorus","Tied Together With A Smile","Taylor Swift"
"219",7,"And letting go and no one knows","Chorus","Tied Together With A Smile","Taylor Swift"
"220",8,"That you cry, but you don't tell anyone","Chorus","Tied Together With A Smile","Taylor Swift"
"221",9,"That you might not be the golden one","Chorus","Tied Together With A Smile","Taylor Swift"
"222",10,"And you're tied together with a smile","Chorus","Tied Together With A Smile","Taylor Swift"
"223",11,"But you're coming undone","Chorus","Tied Together With A Smile","Taylor Swift"
"224",12,"I guess it's true that love was all you wanted","Verse 2","Tied Together With A Smile","Taylor Swift"
"225",13,"'Cause you're giving it away like it's extra change","Verse 2","Tied Together With A Smile","Taylor Swift"
"226",14,"Hoping it will end up in his pocket","Verse 2","Tied Together With A Smile","Taylor Swift"
"227",15,"But he leaves you out like a penny in the rain","Verse 2","Tied Together With A Smile","Taylor Swift"
"228",16,"Oh, 'cause it's not his price to pay","Verse 2","Tied Together With A Smile","Taylor Swift"
"229",17,"It's not his price to pay","Verse 2","Tied Together With A Smile","Taylor Swift"
"230",18,"Hold on, baby, you're losing it","Chorus","Tied Together With A Smile","Taylor Swift"
"231",19,"The water's high, you're jumping into it","Chorus","Tied Together With A Smile","Taylor Swift"
"232",20,"And letting go and no one knows","Chorus","Tied Together With A Smile","Taylor Swift"
"233",21,"That you cry, but you don't tell anyone","Chorus","Tied Together With A Smile","Taylor Swift"
"234",22,"That you might not be the golden one","Chorus","Tied Together With A Smile","Taylor Swift"
"235",23,"And you're tied together with a smile","Chorus","Tied Together With A Smile","Taylor Swift"
"236",24,"But you're coming undone","Chorus","Tied Together With A Smile","Taylor Swift"
"237",25,"Oh, ooh-oh","Chorus","Tied Together With A Smile","Taylor Swift"
"238",26,"Hold on, baby, you're losing it","Chorus","Tied Together With A Smile","Taylor Swift"
"239",27,"The water's high, you're jumping into it","Chorus","Tied Together With A Smile","Taylor Swift"
"240",28,"And letting go and no one knows","Chorus","Tied Together With A Smile","Taylor Swift"
"241",29,"That you cry but you don't tell anyone","Chorus","Tied Together With A Smile","Taylor Swift"
"242",30,"That you might not be the golden one","Chorus","Tied Together With A Smile","Taylor Swift"
"243",31,"And you're tied together with a smile","Chorus","Tied Together With A Smile","Taylor Swift"
"244",32,"But you're coming undone","Chorus","Tied Together With A Smile","Taylor Swift"
"245",33,"You're tied together with a smile","Outro","Tied Together With A Smile","Taylor Swift"
"246",34,"But you're coming undone oh","Outro","Tied Together With A Smile","Taylor Swift"
"247",35,"Goodbye, baby","Outro","Tied Together With A Smile","Taylor Swift"
"248",36,"With a smile, baby, baby","Outro","Tied Together With A Smile","Taylor Swift"
"249",1,"Corey's eyes are like a jungle","Verse 1","Stay Beautiful","Taylor Swift"
"250",2,"He smiles, it's like the radio","Verse 1","Stay Beautiful","Taylor Swift"
"251",3,"He whispers songs into my window in words that nobody knows","Verse 1","Stay Beautiful","Taylor Swift"
"252",4,"These pretty girls on every corner","Verse 1","Stay Beautiful","Taylor Swift"
"253",5,"They watch him as he's walking home, saying, ""Does he know?""","Verse 1","Stay Beautiful","Taylor Swift"
"254",6,"Will you ever know?","Verse 1","Stay Beautiful","Taylor Swift"
"255",7,"You're beautiful","Chorus","Stay Beautiful","Taylor Swift"
"256",8,"Every little piece, love","Chorus","Stay Beautiful","Taylor Swift"
"257",9,"And don't you know","Chorus","Stay Beautiful","Taylor Swift"
"258",10,"You're really gonna be someone","Chorus","Stay Beautiful","Taylor Swift"
"259",11,"Ask anyone","Chorus","Stay Beautiful","Taylor Swift"
"260",12,"And when you find everything you looked for","Chorus","Stay Beautiful","Taylor Swift"
"261",13,"I hope your life will lead you back to my door","Chorus","Stay Beautiful","Taylor Swift"
"262",14,"Oh, but if it don't","Chorus","Stay Beautiful","Taylor Swift"
"263",15,"Stay beautiful","Chorus","Stay Beautiful","Taylor Swift"
"264",16,"Corey finds another way to be the highlight of my day","Verse 2","Stay Beautiful","Taylor Swift"
"265",17,"I'm taking pictures in my mind so I can save them for a rainy day","Verse 2","Stay Beautiful","Taylor Swift"
"266",18,"It's hard to make a conversation when he's taking my breath away","Verse 2","Stay Beautiful","Taylor Swift"
"267",19,"I should say","Verse 2","Stay Beautiful","Taylor Swift"
"268",20,"Hey, by the way","Verse 2","Stay Beautiful","Taylor Swift"
"269",21,"You're beautiful","Chorus","Stay Beautiful","Taylor Swift"
"270",22,"Every little piece, love","Chorus","Stay Beautiful","Taylor Swift"
"271",23,"And don't you know","Chorus","Stay Beautiful","Taylor Swift"
"272",24,"You're really gonna be someone","Chorus","Stay Beautiful","Taylor Swift"
"273",25,"Ask anyone","Chorus","Stay Beautiful","Taylor Swift"
"274",26,"And when you find everything you looked for","Chorus","Stay Beautiful","Taylor Swift"
"275",27,"I hope your life will lead you back to my door","Chorus","Stay Beautiful","Taylor Swift"
"276",28,"Oh, but if it don't","Chorus","Stay Beautiful","Taylor Swift"
"277",29,"Stay beautiful","Chorus","Stay Beautiful","Taylor Swift"
"278",30,"If you and I are a story","Bridge","Stay Beautiful","Taylor Swift"
"279",31,"That never gets told","Bridge","Stay Beautiful","Taylor Swift"
"280",32,"If what you are is a daydream","Bridge","Stay Beautiful","Taylor Swift"
"281",33,"I'll never get to hold","Bridge","Stay Beautiful","Taylor Swift"
"282",34,"At least you'll know","Bridge","Stay Beautiful","Taylor Swift"
"283",35,"You're beautiful","Chorus","Stay Beautiful","Taylor Swift"
"284",36,"Every little piece, love","Chorus","Stay Beautiful","Taylor Swift"
"285",37,"And don't you know","Chorus","Stay Beautiful","Taylor Swift"
"286",38,"You're really gonna be someone","Chorus","Stay Beautiful","Taylor Swift"
"287",39,"Ask anyone","Chorus","Stay Beautiful","Taylor Swift"
"288",40,"And when you find everything you looked for","Chorus","Stay Beautiful","Taylor Swift"
"289",41,"I hope your life will lead you back to my front door","Chorus","Stay Beautiful","Taylor Swift"
"290",42,"Oh, but if it don't","Chorus","Stay Beautiful","Taylor Swift"
"291",43,"Will you stay","Chorus","Stay Beautiful","Taylor Swift"
"292",44,"Beautiful, beautiful, beautiful?","Chorus","Stay Beautiful","Taylor Swift"
"293",45,"Beautiful, beautiful, beautiful?","Chorus","Stay Beautiful","Taylor Swift"
"294",46,"La la la","Outro","Stay Beautiful","Taylor Swift"
"295",47,"Oh, oh, oh, oh","Outro","Stay Beautiful","Taylor Swift"
"296",48,"Oh, but if it don't","Outro","Stay Beautiful","Taylor Swift"
"297",49,"Stay beautiful","Outro","Stay Beautiful","Taylor Swift"
"298",50,"Stay beautiful","Outro","Stay Beautiful","Taylor Swift"
"299",51,"Na, na, na, na, na","Outro","Stay Beautiful","Taylor Swift"
"300",1,"It's strange to think the songs we used to sing","Verse 1","Should've Said No","Taylor Swift"
"301",2,"The smiles, the flowers, everything is gone","Verse 1","Should've Said No","Taylor Swift"
"302",3,"Yesterday I found out about you","Verse 1","Should've Said No","Taylor Swift"
"303",4,"Even now just looking at you: feels wrong","Verse 1","Should've Said No","Taylor Swift"
"304",5,"You say that you'd take it all back, given one chance","Pre-Chorus","Should've Said No","Taylor Swift"
"305",6,"It was a moment of weakness and you said, ""Yes""","Pre-Chorus","Should've Said No","Taylor Swift"
"306",7,"You should've said, ""No""","Chorus","Should've Said No","Taylor Swift"
"307",8,"You should've gone home","Chorus","Should've Said No","Taylor Swift"
"308",9,"You should've thought twice 'fore you let it all go","Chorus","Should've Said No","Taylor Swift"
"309",10,"You should've known that word, 'bout what you did with her'd","Chorus","Should've Said No","Taylor Swift"
"310",11,"Get back to me (Get back to me)","Chorus","Should've Said No","Taylor Swift"
"311",12,"And I should've been there, in the back of your mind","Chorus","Should've Said No","Taylor Swift"
"312",13,"I shouldn't be asking myself, ""Why?""","Chorus","Should've Said No","Taylor Swift"
"313",14,"You shouldn't be begging for forgiveness at my feet","Chorus","Should've Said No","Taylor Swift"
"314",15,"You should've said no, baby, and you might still have me","Chorus","Should've Said No","Taylor Swift"
"315",16,"You can see that I've been crying","Verse 2","Should've Said No","Taylor Swift"
"316",17,"Baby, you know all the right things to say","Verse 2","Should've Said No","Taylor Swift"
"317",18,"But do you honestly expect me to believe","Verse 2","Should've Said No","Taylor Swift"
"318",19,"We could ever be the same?","Verse 2","Should've Said No","Taylor Swift"
"319",20,"You say that the past is the past, you need one chance","Pre-Chorus","Should've Said No","Taylor Swift"
"320",21,"It was a moment of weakness and you said, ""Yes""","Pre-Chorus","Should've Said No","Taylor Swift"
"321",22,"You should've said, ""No""","Chorus","Should've Said No","Taylor Swift"
"322",23,"You should've gone home","Chorus","Should've Said No","Taylor Swift"
"323",24,"You should've thought twice 'fore you let it all go","Chorus","Should've Said No","Taylor Swift"
"324",25,"You should've known that word, 'bout what you did with her'd","Chorus","Should've Said No","Taylor Swift"
"325",26,"Get back to me (Get back to me)","Chorus","Should've Said No","Taylor Swift"
"326",27,"And I should've been there, in the back of your mind","Chorus","Should've Said No","Taylor Swift"
"327",28,"I shouldn't be asking myself, ""Why?""","Chorus","Should've Said No","Taylor Swift"
"328",29,"You shouldn't be begging for forgiveness at my feet","Chorus","Should've Said No","Taylor Swift"
"329",30,"You should've said no, baby, and you might still have me","Chorus","Should've Said No","Taylor Swift"
"330",31,"I can't resist","Bridge","Should've Said No","Taylor Swift"
"331",32,"Before you go tell me this","Bridge","Should've Said No","Taylor Swift"
"332",33,"Was it worth it?","Bridge","Should've Said No","Taylor Swift"
"333",34,"Was she worth this?","Bridge","Should've Said No","Taylor Swift"
"334",35,"No no, no, no, no, no","Bridge","Should've Said No","Taylor Swift"
"335",36,"You should've said, ""No""","Chorus","Should've Said No","Taylor Swift"
"336",37,"You should've gone home","Chorus","Should've Said No","Taylor Swift"
